"","year","evsales","evstock","evchargpnt","cpiyoy","industprod","totreserves","forexrate","cpi","gdp","unemprate","oilprice","evavgprice","milleagekm","lithbatpriceusd","newcaravgprice","pm25exp","co2emit","renergycon","lifexpect"
"unemprate",-0.343645372462756,-0.129742057773196,-0.134536840449209,-0.12489863727471,-0.142739977455833,-0.356576480919674,-0.350601334656506,-0.353712380586621,-0.255101702286859,-0.248897520711868,1,0.167367935954035,-0.0107198962517166,-0.346376547230592,0.339685328689136,-0.243666885856789,-0.235329075668926,-0.258724880207956,0.0254866208892116,0.00721108576285287
"oilprice",-0.421730542054564,0.0607433578526969,0.0315617537394888,0.0130110521886381,0.386834707627426,-0.0315400436295467,0.0150415038787846,-0.0248144576669173,-0.163001079340379,-0.0360074981926619,0.167367935954035,1,0.486041452079523,-0.342590583328034,0.653203455044772,-0.0863859754611023,0.0946819202174355,0.00115488237264934,-0.0618246822794918,-0.0761868468585218
"evavgprice",0.254970424980363,0.289128256836861,0.296059105473961,0.250738139951072,0.535870467546126,0.013207805847374,0.0104353425223337,0.00400559790248742,0.320038880617956,0.0185308961041025,-0.0107198962517166,0.486041452079523,1,0.281372664213262,0.0315661563885928,0.593916635542422,0.0404577616881674,0.00620728792963143,0.00327143687614468,-0.0383974884967475
"milleagekm",0.99037218083997,0.300012248517898,0.322982155077691,0.276751250049328,0.302516336483873,0.0799561753060135,0.00047887029537194,0.0435091440215683,0.726004684012829,0.0900504806624123,-0.346376547230592,-0.342590583328034,0.281372664213262,1,-0.909096369068507,0.82568261928794,-0.112251898353417,0.0149824193350442,0.0975723112071361,0.11427139236532
"lithbatpriceusd",-0.936468328023535,-0.204715368301467,-0.226718970232033,-0.197100915289232,-0.0736826775984386,-0.0770388804184648,0.00526362540592938,-0.0468138226714613,-0.629279295594896,-0.0856271830850036,0.339685328689136,0.653203455044772,0.0315661563885928,-0.909096369068507,1,-0.636693044870788,0.109103928164903,-0.0120202519835218,-0.0878179764886648,-0.127244970238622
"newcaravgprice",0.845258199134333,0.359169743305505,0.379727979303086,0.329187665649758,0.391598753714525,0.0644270427532184,0.00857786407259771,0.0311024646757117,0.654545876743615,0.0744926850574391,-0.243666885856789,-0.0863859754611023,0.593916635542422,0.82568261928794,-0.636693044870788,1,-0.0936024577610605,0.0143670030976145,0.0866202466863549,0.0516507001074642
"pm25exp",-0.11365311404071,0.345030747281448,0.255046798483552,0.268376764021762,0.334049470815333,0.697976588687307,0.940098054179839,-0.0186562573130464,0.260740017518581,0.222090217094252,-0.235329075668926,0.0946819202174355,0.0404577616881674,-0.112251898353417,0.109103928164903,-0.0936024577610605,1,0.847331788133131,-0.257277032450163,-0.648947191040013
"co2emit",0.0145776205034157,0.484937354391666,0.512053628722859,0.520140489576708,0.109792059420571,0.950388880216405,0.857369330707238,-0.0876701954047864,0.328059432692075,0.658665870286262,-0.258724880207956,0.00115488237264934,0.00620728792963143,0.0149824193350442,-0.0120202519835218,0.0143670030976145,0.847331788133131,1,-0.29455391992859,-0.785117211659186
"renergycon",0.0979887056479112,-0.0651420131154957,-0.0699741352790076,-0.0621620931098672,0.121029478306983,-0.418822029850041,-0.265669418282088,-0.241599720832198,0.168518951561419,-0.486844405707891,0.0254866208892116,-0.0618246822794918,0.00327143687614468,0.0975723112071361,-0.0878179764886648,0.0866202466863549,-0.257277032450163,-0.29455391992859,1,0.233074213173954
"lifexpect",0.112162656884324,-0.261161212096259,-0.288164243137927,-0.257773007152361,-0.257293838659487,-0.695953955017106,-0.468145698641791,0.520170362669371,-0.334564553583699,-0.621614750182605,0.00721108576285287,-0.0761868468585218,-0.0383974884967475,0.11427139236532,-0.127244970238622,0.0516507001074642,-0.648947191040013,-0.785117211659186,0.233074213173954,1
